7377,Concert Men's Choir II
7378,Concert Men's Choir III
7379,Concert Men's Choir IV
7281,Show Choir
7371,Chorale II
7372,Chorale III
7373,Chorale IV
7285,Vocal Ensemble I
7286,Vocal Ensemble II
7287,Vocal Ensemble III
7288,Vocal Ensemble IV
7251,Concert Orchestra I
7253,Concert Orchestra II
7254,Concert Orchestra III
7255,Concert Orchestra IV
7252,Symphony Orchestra I
7256,Symphony Orchestra II
7257,Symphony Orchestra III
7258,Symphony Orchestra IV
7259,Philharmonic Orchestra I
7260,Philharmonic Orchestra II
7270,Philharmonic Orchestra III
7280,Philharmonic Orchestra IV
7210,Piano Performance I
7220,Piano Performance II
7230,Piano Performance III
7240,Piano Performance IV
7275,Musical Theatre I
7276,Musical Theatre II
7277,Musical Theatre III
7278,Musical Theatre IV
7295,Music Theory II: Composition
7292,AP Music Theory
7296,Applied Music I
7297,Applied Music II
7298,Music History & Appreciation SL
7299,IB Music History & Appreciation HL
7411,Theatre Arts I
7421,Theatre Arts II
7434,Theatre Arts III
7441,Theatre Arts IV
7412,Advanced Theatre Arts I
7451,Production I
7452,Production II
7453,Production III
7454,Production IV
7461,Technical Theatre I
7462,Technical Theatre II
7466,Technical Theatre III
7467,Technical Theatre IV
7465,Technical Theatre I Costume Design
7466,Technical Theatre II Costume Design
7467,Technical Theatre III Costume Design
7468,Technical Theatre IV Costume Design
7470,"Technical Theatre I: Beginning Lights, Sound, & Stagecraft"
7480,Advanced Lighting/Stage Design
7800,Technical Theatre II: Advanced Stagecraft
7410,Theatre Arts I: Acting I
7900,Intermediate Acting: Children's Theatre
7901,Intermediate Acting: Comedy
7275,Musical Theatre I
7276,Musical Theatre II
7277,Musical Theatre III
7278,Musical Theatre IV
7482,Advanced Acting: Shakespeare
7600,Play Analysis/Beginning Direction
7420,Advanced Acting/American Drama
7422,Advanced Acting: World Drama
6310,Health Education
9704,Personal Health/Hygiene
6101,Baseball: Boys
6113,Basketball: 9th Grade Boys
6114,Basketball: 9th Grade Girls
6115,"Basketball: 10, 11, 12th Boys"
6116,"Basketball: 10, 11, 12th Girls"
6120,Cross Country/Track-Boys
6122,Cross Country/Track-Girls
6131,Football: 9th Grade
6133,"Football: 10, 11, 12th Grade"
6140,Golf: COED
6115,Gymnastics I
6155,Gymnastics II
6157,Gymnastics IV
6161,Soccer: Boys
6162,Soccer: Girls
6165,Softball: Girls
6170,Swimming: COED
6171,Tennis I
6172,Tennis II
6173,Tennis III
6174,Tennis IV
6182,Volleyball: 9th Grade Girls
6184,"Volleyball: 10, 11, 12th Girls"
6000,Off Campus Physical Education
6235,Cheerleader
6236,Cheerleader
6018,Weight Training/Aerobics
6028,Weight Training/Aerobics
6011,Team Sports
6014,Individual Sports
806017,Aerobic Activity
6019,Outdoor Education and Adventure
6030,Foundations of Personal Fitness
6711,Adapted P.E.
6092,Partners in PE- Team Sports
9094,Partner in PE - Individual Sports
1900,English/Social Studies Digital Curriculum
1901,Credit-Math/Science Digital Curriculum
9875,Applied Study Skills
9600,Building Workplace Success
9838,Career Pathways
9315,Community Service
9470,Credit Recovery Applied
9840,Daily Living Skills I-II
1341,Ind. English Read 180 I
1342,Ind. English Read 180 II
1343,Ind. English Read 180 III
13412,Ind. Applied English Read 180 I
13422,Ind. Applied English Read 180 II
13432,Ind. Applied English Read 180 III
13414.23,Ind. English Read 180 I For ESL
13414.33,Ind. English Read 180 II and III For ESL
9878,Interpersonal Development Skills
9887,Learning Strategies
9310,Office Work Skills
9320,Partner s in Physical Education
9342,Preparing All Youth for Success (PAYS)
9343,Preparing All Youth for Success (PAYS)
9312,Peer Assistance & Leadership (PAL) I
9313,Peer Assistance & Leadership (PAL) II
9319,Peer Mediation
1920,SAT I Preparation
9890,Service Learning
9705,Social Skills
6008,Sports Medicine I
6208,Sports Medicine II
9314,Student Leadership
1020,Study Skills
9318,Teen Leadership I
9328,Teen Leadership II
9880,Visual Adaptations
9301,Vocational Experience I
9608,Vocational Experience VIII
9301,Aerospace Science I
9302,Aerospace Science II
9303,Aerospace Science III
9304,Aerospace Science IV
9306,Leadership Education I
9307,Leadership Education II
9308,Leadership Education III
9309,Leadership Education IV
9331,Naval Science I
9332,Naval Science II
9333,Naval Science III
9334,Naval Science IV
3921,Computer Science I
3922,AP Computer Science
3923,IB Computer Science I
3933,IB Computer Science II
3940,Computer Science III
3935,Desktop Publishing: Yearbook
3936,Desktop Publishing: Newspaper
3939,IB Information Technology in a Global Society (ITGS-I)
9855,Applied Technology
8425,IB Spanish V (HL)
9354,Off Block 4th
9358,Off Block 8th
9351,Off Block 1st
9355,Off Block 5th
2204,Pre-IB World Area Studies
5711,Professional Communications
7163,Wind Ensemble IV
6010,Football Sh
5628,Human Body Systems
